英文,詞性,中文,級別
applaud,v.,拍手喝彩,6
applicable,adj.,合適的,6
apprentice,n.,學徒,6
approximate,adj./v.,大約的,6
archaeology,n.,考古學,6
archive,n.,把...存檔,6
arithmetic,n./adj.,算術,6
ascend,v.,上升,6
aspire,v.,渴望,6
assassinate,v.,暗殺,6
asthma,n.,哮喘,6
astray,adv./adj.,迷途地,6
astronaut,n.,太空旅行者,6
astronomer,n.,天文學家,6
astronomy,n.,天文學,6
attain(ment),v./(n.),達到,6
attendant,n.,隨從,6
audit,n.,審計,6
auditorium,n.,聽眾席,6
avert,v.,轉開,6
aviation,n.,航空,6
awesome,adj.,引起敬畏的,6
awhile,adv.,片刻,6
bachelor,n.,單身漢,6
backbone,n.,脊椎,6
badge,n.,徽章,6
banquet,n./v.,宴會,6
barbarian,adj./n.,野蠻人,6
bass,n./adj.,低沉的聲音,6
batter,n./v.,連續猛打（尤其指婦女）,6
beautify,v.,美化,6
beep,n./v.,短而尖的聲音,6
beforehand,adv.,預先,6
beverage,n.,飲料,6
bilateral,adj.,有兩邊的,6
blaze,n./v.,火焰,6
bleach,n./v.,漂白,6
blond/blonde,n./adj.,(頭發)亞麻色的,6
blot,v./n.,汙點,6
blunt,adj./v.,鈍的,6
bodily,adj./adv.,身體的,6
booklet,n.,小冊子,6
bosom,n.,胸部,6
boulevard,n.,林蔭大道,6
boxing,n.,拳擊,6
boycott,n./v.,聯合抵制,6
brace,n./v.,支柱,6
brassiere/bra,n.,奶罩,6
breadth,n.,寬度,6
breakdown,n.,崩潰,6
breakup,n.,分裂,6
bribe,n./v.,賄賂,6
brink,n.,邊緣,6
broaden,v.,變寬,6
brochure,n.,小冊子,6
broil,v.,烤,6
brook,n.,小溪,6
broth,n.,原汁清湯,6
brotherhood,n.,手足情誼,6
bulky,adj.,龐大的,6
bureaucrat,n.,官僚作風的人,6
bypass,n./v.,旁路,6
caffeine,n.,咖啡因,6
calculator,n.,計算者,6
calligraphy,n.,筆跡,6
cape,n.,岬,6
capsule,n.,膠囊,6
caption,n./v.,說明,6
captive,adj./n.,俘虜,6
captivity,n.,囚禁,6
cardboard,n.,薄紙板,6
cardinal,n./adj.,紅衣主教,6
carefree,adj.,無憂無慮的,6
caretaker,n.,照顧者,6
carton,n.,硬紙盒,6
cashier,n.,出納員,6
casualty,n.,意外事故,6
catastrophe,n.,大災難,6
cater,v.,提供飲食及服務,6
caterpillar,n.,毛蟲,6
cavity,n.,洞,6
celery,n.,芹菜,6
cellular,adj.,細胞的,6
Celsius,n.,攝氏的,6
cement,n./v.,水泥,6
census,n.,戶口普查,6
ceramic,adj./n.,陶瓷的,6
certify,v.,證明,6
chairperson/chair/ chairman/ chairwoman,n.,女主席,6
champagne,n.,香檳酒,6
chant,n./v.,聖歌,6
charitable,adj.,大慈大悲的,6
checkup,n.,審查,6
chemist,n.,化學家,6
chestnut,n./adj.,栗子,6
chili,n.,幹辣椒,6
chimpanzee,n.,黑猩猩,6
chirp,n./v.,喳喳聲,6
cholesterol,n.,膽固醇,6
cigar,n.,雪茄,6
civilize,v.,使開化,6
clam,n.,蛤,6
clasp,v./n.,扣子,6
clearance,n.,清除,6
climax,n./v.,高潮,6
clockwise,adv./adj.,順時針方向的,6
clone,n./v.,無性系,6
closure,n.,關閉,6
coalition,n.,結合體,6
coastline,n.,海岸線,6
collision,n.,碰撞,6
colloquial,adj.,會話的,6
comet,n.,彗星,6
commonplace,adj./n.,尋常事,6
commonwealth,n.,共和國,6
communicative,adj.,健談的,6
comparative,adj.,比較的,6
compass,n./v.,指南針,6
compile,v.,編譯,6
complement,v./n.,補足物,6
complexion,n.,膚色,6
comprehensive,adj.,廣泛的,6
compute,v.,計算,6
computerize,v.,用電腦處理,6
comrade,n.,同志,6
concession,n.,特許,6
concise,adj.,簡潔的,6
condense,v.,使濃縮,6
confederation,n.,同盟,6
congressman/ congresswoman,n.,國會女議員,6
conquest,n.,戰勝,6
conscientious,adj.,有責任心的,6
conserve,v./n.,蜜餞,6
consolation,n.,安慰,6
console,n./v.,安慰,6
consonant,n.,輔音,6
conspiracy,n.,同謀,6
contention,n.,爭論,6
contestant,n.,競爭者,6
continuity,n.,連續性,6
contradict,v.,反駁,6
convene,v.,集合,6
coral,n./adj.,珊瑚,6
corpse,n.,屍體,6
correspondence,n.,相符,6
cosmetic,adj.,化妝品,6
cosmetics,n.,裝飾品,6
counterpart,n.,副本,6
coupon,n.,息票,6
courtyard,n.,庭院,6
cowardly,adj.,怯懦的,6
cozy,adj.,舒適的,6
crackdown,n.,制裁,6
cracker,n.,餅幹,6
cram,v.,塞滿,6
cramp,n./v.,痙攣,6
crater,n./v.,火山口,6
credible,adj.,可信的,6
crocodile,n.,鱷魚,6
crossing,n.,橫越,6
crutch,n.,拐杖,6
cub,n.,幼獸,6
cucumber,n.,黃瓜,6
cultivate,v.,培養,6
cumulative,adj.,累積的,6
curb,n./v.,抑制,6
curfew,n.,晚鍾,6
curry,n.,咖哩粉,6
customary,adj.,習慣的,6
cynical,adj.,憤世嫉俗的,6
dazzle,v./n.,(使)眼花,6
deafen,v.,使聾,6
decisive,adj.,決定性的,6
dedication,n.,奉獻,6
deduct,v.,扣除,6
deem,v.,認為,6
default,n./v.,違約,6
defect,n./v.,缺點,6
defiance,n.,蔑視,6
definitive,adj.,限定詞,6
dental,adj.,牙齒的,6
deplete,v.,耗盡,6
deprive,v.,剝奪,6
descent,n.,降落,6
despise,v.,輕視,6
destined,adj.,預定的,6
detach,v.,使分離,6
detain,v.,扣留,6
detention,n.,阻止,6
deter,v.,制止,6
detergent,n.,清潔劑,6
devour,v.,吞食,6
diabetes,n.,糖尿病,6
dictate,v.,聽寫,6
dictation,n.,聽寫,6
dictator,n.,命令者,6
dictatorship,n.,獨裁者之職位,6
diesel,n.,內燃機,6
differentiate,v.,區別,6
diplomacy,n.,外交,6
directive,n.,指導的,6
disable,v.,使失去能力,6
disastrous,adj.,損失慘重的,6
disbelief,n.,不信,6
discard,v./n.,丟棄,6
discharge,n./v.,卸下,6
disciple,n.,弟子,6
disciplinary,adj.,訓練的,6
disclosure,n.,揭發,6
discomfort,n./v.,困苦,6
discreet,adj.,小心的,6
disgrace,n./v.,恥辱,6
dismay,n./v.,沮喪,6
dispensable,adj.,不是必要的,6
dispense,v.,分發,6
disposable,adj./n.,可任意處理的,6
disposal,n.,丟掉,6
dispose,v.,處理,6
dissent,n.,異議,6
distraction,n.,娛樂,6
distress,n./v.,苦惱,6
disturbance,n.,擾亂,6
diversify,v.,使多樣化,6
diversion,n.,轉移,6
divert,v.,轉移,6
dividend,n.,被除數,6
doom,n./v.,厄運,6
dormitory/dorm,n.,宿舍,6
downward,adj.,向下的,6
downward/downwards,adv.,向下的,6
doze,v./n.,打瞌睡,6
drastic,adj.,激烈的,6
draught,n.,氣流,6
dresser,n.,化妝臺,6
dressing,n.,調味品,6
dual,adj.,雙重的,6
dubious,adj.,可疑的,6
duration,n.,持續時間,6
dusk,n.,薄暮,6
dwarf,n./v.,矮子,6
dwell,v.,居住,6
dwelling,n.,住處,6
eccentric,adj./n.,怪人,6
eclipse,n./v.,日食,6
edible,adj.,食品,6
editorial,adj./n.,社論,6
electrician,n.,電學家,6
elevate,v.,舉起,6
emigrant,n.,移民,6
emigrate,v.,(使)移居,6
emigration,n.,移民,6
encyclopedia,n.,百科全書,6
endeavor,n./v.,努力,6
endowment,n.,捐助,6
endurance,n.,忍耐,6
enhance(ment),v./(n.),提高,6
enlighten(ment),v./(n.),啟發,6
enrich(ment),v./(n.),使富足,6
enroll(ment),v./(n.),註冊,6
equalize,v.,使相等,6
equate,v.,使相等,6
escort,n./v.,護送者,6
esteem,n./v.,尊敬,6
eternity,n.,永遠,6
evacuate,v.,疏散,6
evergreen,adj./n.,常綠樹,6
evoke,v.,喚起,6
examinee,n.,受試人,6
examiner,n.,檢查人,6
excel,v.,勝過,6
excerpt,n./v.,摘錄,6
excess,adj./n.,過度,6
exclusion,n.,排除,6
exempt,adj.,免稅者,6
exert,v.,發揮,6
expenditure,n.,開支,6
expiration,n.,終止,6
expire,v.,期滿,6
extract,n./v.,榨出物,6
extracurricular,adj.,課外的,6
eyelash/lash,n.,睫毛,6
eyelid,n.,眼皮,6
eyesight,n.,視力,6
fable,n.,寓言,6
faction,n.,小派系,6
Fahrenheit,n.,華氏溫度計的,6
falter,v.,支吾地說,6
familiarity,n.,熟悉,6
fascination,n.,令人著迷的事物,6
feasible,adj.,能實行的,6
feeble,adj.,微弱的,6
feminine,adj./n.,女性的,6
fertility,n.,肥沃,6
fertilizer,n.,肥料,6
fiancé/fiance,n.,未婚夫,6
fin,n.,鰭,6
finite,adj.,有限的,6
firecracker,n.,爆竹,6
fireproof,adj.,耐火的,6
fishery,n.,漁業,6
flake,n./v.,小薄片,6
flaw,n./v.,缺點,6
flourish,v./n.,繁榮,6
flunk,v./n.,失敗,6
foe,n.,仇敵,6
folklore,n.,民俗學,6
formidable,adj.,巨大的,6
formulate,v.,用公式表示,6
forsake,v.,放棄,6
forthcoming,adj.,即將來臨的,6
fortify,v.,設要塞於,6
fowl,n.,鳥,6
fracture,n./v.,破碎,6
fragrance,n.,芬芳,6
fragrant,adj.,芬香的,6
frantic,adj.,狂亂的,6
freak,n./v.,畸形人,6
freeway,n.,高速公路,6
friction,n.,摩擦,6
fume,v./n.,臭氣,6
fury,n.,憤怒,6
fuse,n./v.,保險絲,6
fuss,n./v.,大驚小怪,6
gallop,n./v.,疾馳,6
gangster,n.,流氓,6
garment,n.,衣服,6
gauge,n./v.,標準度量,6
gay,adj./n.,歡快的,6
geographical,adj.,地理學的,6
geometry,n.,幾何學,6
glacier,n.,冰川,6
glamorous,adj.,富有魅力的,6
glamour,n.,魅力,6
gleam,n./v.,光束,6
glide,v./n.,滑動,6
glitter,n./v.,燦爛,6
gloom,n./v.,憂鬱,6
goalkeeper,n.,守門員,6
goodwill,n.,友好,6
gorilla,n.,大猩猩,6
gospel,n.,福音,6
grapefruit,n.,葡萄軸,6
graze,v.,吃草,6
grease,n./v.,脂肪,6
groan,n./v.,呻吟,6
growl,n./v.,吠聲,6
grumble,v./n.,怨言,6
hacker,n.,駭客,6
hail,n./v.,冰雹,6
hamper,v.,食籃,6
handicap,n./v.,障礙,6
handicraft,n.,手工藝,6
harass(ment),v./(n.),騷擾,6
harden,v.,使變硬,6
harmonica,n.,口琴,6
harness,n./v.,馬具,6
haunt,v./n.,常到的地方,6
headphone(s),n.,耳機,6
healthful,adj.,有益健康的,6
hearty,adj.,誠懇的,6
hedge,n./v.,樹籬,6
heighten,v.,增高,6
hemisphere,n.,半球,6
heroic,adj./n.,英勇的,6
heroin,n.,海洛因,6
heterosexual,adj./n.,異性的,6
hierarchy,n.,等級制度,6
hijack,v./n.,搶劫,6
hoarse,adj.,沙啞的,6
homosexual,adj./n.,同性戀的,6
honorary,adj.,榮譽的,6
hospitable,adj.,好客的,6
hospitality,n.,款待,6
hospitalize,v.,送...進醫院治療,6
hostel,n.,青年招待所,6
hover,v./n.,盤旋,6
humiliate,v.,使丟臉,6
hunch,n./v.,肉峰,6
hurdle,n./v.,障礙,6
hybrid,adj./n.,混血兒,6
hygiene,n.,衛生保健,6
hypocrite,n.,偽君子,6
iceberg,n.,冰山,6
illuminate,v.,照明,6
imminent,adj.,即將來臨的,6
imperative,adj./n.,命令,6
imperial,adj.,帝王的,6
implicit,adj.,暗示的,6
imposing,adj.,令人難忘的,6
imprison(ment),v./(n.),監禁,6
incline,v./n.,傾斜,6
inclusive,adj.,包含的,6
incur,v.,招致,6
indifference,n.,不重視,6
indignant,adj.,憤怒的,6
induce,v.,引誘,6
industrialize,v.,使工業化,6
infectious,adj.,有傳染性的,6
infer,v.,推論出,6
inflict,v.,施以,6
inhabit,v.,居住於,6
inhabitant,n.,居民,6
injustice,n.,不公平,6
inland,adj./adv./n.,內陸的,6
innumerable,adj.,無數的,6
inquire,v.,詢問,6
insistence,n.,堅持,6
instinctive,adj.,本能的,6
intake,n.,入口,6
intellect,n.,智力,6
interpreter,n.,直譯程序,6
intersection,n.,交集,6
intervene,v.,插入,6
intimacy,n.,親密,6
intimidate,v.,威脅,6
intonation,n.,朗誦,6
intrigue,n./v.,陰謀,6
intrude,v.,闖入,6
intruder,n.,侵入者,6
invaluable,adj.,無價的,6
invariably,adv.,不變化地,6
inventory,n./v.,詳細目錄,6
ironic,adj.,冷嘲的,6
irritable,adj.,易怒的,6
irritate,v.,激怒,6
isle,n.,小島,6
itch,n./v.,癢,6
ivy,n.,常春藤,6
jade,n.,玉,6
janitor,n.,守衛,6
jasmine,n.,茉莉,6
jingle,n./v.,叮當聲,6
jockey,n./v.,賽馬騎師,6
jolly,adj./adv./v./n.,愉快的,6
joyous,adj.,快樂的,6
junction,n.,連接,6
kin,n./adj.,親戚,6
kindle,v.,點燃,6
knowledgeable,adj.,聰明的,6
lad,n.,青年,6
landlady,n.,女房東,6
landslide,n.,山崩,6
latitude,n.,緯度,6
lavish,adj.,大方的,6
layman,n.,俗人,6
layout,n.,布局,6
lease,n.,租約,6
legislator,n.,立法者,6
lengthy,adj.,冗長的,6
lesbian,adj.,女同性戀的,6
lessen,v.,減少,6
lethal,adj.,致命的,6
liable,adj.,有義務的,6
liberate,v.,解放,6
liberation,n.,釋放,6
lieutenant,n.,中尉,6
lifelong,adj.,終身的,6
lighten,v.,照亮,6
limp,n./v.,跛行,6
liner,n.,班機,6
linger,v.,逗留,6
lining,n.,襯裡,6
liter,n.,公升,6
literacy,n.,讀寫能力,6
literal,adj.,逐字的,6
literate,adj./n.,學者,6
livestock,n.,家畜,6
lizard,n.,蜥蜴,6
locker,n.,抽屜,6
lodge,n./v.,小屋,6
lofty,adj.,高的,6
logo,n.,連合活字,6
lonesome,adj.,寂寞的,6
longevity,n.,長命,6
longitude,n.,經度,6
lotion,n.,洗液,6
lottery,n.,獎券,6
lotus,n.,蓮,6
loudspeaker,n.,擴音器,6
lucrative,adj.,有利益的,6
lullaby,n.,搖籃曲,6
lunar,adj.,陰歷的,6
lure,n./v.,餌,6
lush,adj.,蒼翠繁茂的,6
madam/ma’am,n.,女士；夫人,6
magnify,v.,放大,6
maiden,adj./n.,年輕未婚女子,6
mainland,n.,大陸,6
majestic,adj.,宏偉的,6
majesty,n.,最高權威,6
manuscript,n.,手稿,6
maple,n.,楓,6
mar,v.,損毀,6
marginal,adj.,邊緣的,6
martial,adj.,戰爭的,6
marvel,n./v.,奇異事物,6
mastery,n.,徵服,6
mediate,v.,居間的,6
medieval,adj.,中古的,6
meditate,v.,想,6
meditation,n.,沉思,6
melancholy,n./adj.,憂鬱,6
mentality,n.,精神力,6
merchandise,n./v.,商品,6
mermaid,n.,美人魚,6
migrant,n./adj.,候鳥,6
mimic,v./n.,模仿的,6
mingle,v.,(使)混合,6
miraculous,adj.,奇跡的,6
miscellaneous,adj.,各種的,6
mischievous,adj.,淘氣的,6
mistress,n.,主婦,6
mobilize,v.,動員,6
modernization,n.,現代化,6
modernize,v.,現代化,6
momentum,n.,動力,6
monarch,n.,帝王,6
monetary,adj.,貨幣的,6
monotony,n.,單調,6
monstrous,adj.,巨大的,6
moody,adj.,心情不穩的,6
morale,n.,士氣,6
mortal,adj./n.,生物,6
motherhood,n.,母道,6
motto,n.,箴言,6
mound,n./v.,土墩,6
mourn,v.,哀悼,6
mournful,adj.,悲慟的,6
mow,v.,草堆,6
muse,n.,沉思,6
mustache,n.,髭,6
mute,adj./v./n.,啞子,6
nag,v./n.,老馬,6
narrate,v.,說故事,6
narrator,n.,講述者,6
nationalism,n.,民族主義,6
navigate,v.,航行,6
navigation,n.,航行,6
nearsighted,adj.,近視的,6
nickel,n./v.,鎳,6
nostril,n.,鼻孔,6
notable,adj./n.,著名人士,6
notorious,adj.,聲名狼藉的,6
nourish(ment),v./(n.),滋養,6
novice,n.,新手,6
nucleus,n.,核心,6
nude,adj./n.,裸的,6
nurture,v./n.,養育,6
oasis,n.,綠洲,6
oath,n.,誓約,6
oatmeal,n.,燕麥片,6
oblige,v.,強制,6
obsess,v.,迷住,6
obstinate,adj.,倔強的,6
occurrence,n.,發生,6
octopus,n.,章魚,6
odor,n.,氣味,6
offshore,adj.,海面的,6
offspring,n.,子孫,6
operative,adj.,動作的,6
oppress,v.,壓迫,6
oppression,n.,壓抑,6
ordeal,n.,嚴酷考驗,6
orderly,adj./n.,有秩序的,6
organizer,n.,組織者,6
orient,n./v.,東方,6
oriental,adj./n.,東方人,6
originate,v.,創始,6
ornament,n./v.,裝飾,6
orphanage,n.,孤兒院,6
orthodox,adj.,正統的,6
ounce,n.,盎司,6
outbreak,n.,爆發,6
outgoing,adj.,外出,6
outing,n.,郊遊,6
outlaw,n./v.,被剝奪法律保護的人,6
outlook,n.,觀點,6
outnumber,v.,數目超過,6
outrage,n./v.,暴行,6
outrageous,adj.,暴虐的,6
outright,adj./adv.,率直的,6
outset,n.,著手,6
outskirts,n.,近郊,6
outward,adj.,向外的,6
outward/outwards,adv.,向外地,6
overdo,v.,做得過分,6
overflow,n./v.,溢值,6
overhear,v.,無意中聽到,6
overlap,n./v.,重疊,6
overwork,n./v.,過度操勞的工作,6
oyster,n.,牡蠣,6
ozone,n.,新鮮的空氣,6
packet,n.,小包,6
paddle,n./v.,槳,6
paperback,n.,平裝本,6
paradox,n.,似非而是的論點,6
paralyze,v.,使癱瘓,6
parliament,n.,國會,6
pastime,n.,消遣,6
patriot,n.,愛國者,6
patriotic,adj.,愛國的,6
peacock,n.,孔雀,6
pebble,n.,小圓石,6
peek,n./v.,偷看,6
pending,adj.,未決定的,6
peninsula,n.,半島,6
perch,n./v.,棲木,6
peril,n./v.,危險,6
perish,v.,毀滅,6
permissible,adj.,可允許的,6
persevere,v.,堅持,6
persistence,n.,固執,6
persistent,adj.,固執的,6
petrol,n.,汽油,6
petroleum,n.,石油,6
pharmacist,n.,藥師,6
pharmacy,n.,藥房,6
pianist,n.,鋼琴家,6
pickpocket,n.,扒手,6
pilgrim,n.,旅行者,6
pimple,n.,丘疹,6
pinch,n./v.,捏,6
plague,n.,瘟疫,6
plantation,n.,種植園,6
playwright,n.,劇作家,6
plow,n./v.,犁,6
pneumonia,n.,肺炎,6
polar,adj.,兩極的,6
ponder,v.,沉思,6
pony,n.,矮種馬,6
populate,v.,使人口聚居在...中,6
porter,n.,大樓管理員,6
posture,n./v.,姿勢,6
potent,adj.,有力的,6
poultry,n.,家禽,6
preach,v.,傳道,6
precede,v.,在...之前,6
precedent,n.,先例,6
precision,n.,精密,6
predecessor,n.,前任,6
prehistoric,adj.,歷史以前的,6
premiere,n.,初次公演,6
preside,v.,統轄,6
prestige,n.,聲望,6
preventive,adj./n.,預防的,6
preview,n./v.,事先查看,6
priceless,adj.,無價的,6
privatize,v.,私有化,6
probe,n.,探索,6
procession,n.,隊伍,6
proficiency,n.,精通,6
prohibition,n.,禁令,6
propel,v.,推進,6
prose,n.,散文,6
prosecute,v.,告發,6
prospective,adj.,預期的,6
prototype,n.,原型,6
proverb,n.,諺語,6
provincial,adj./n.,外地人,6
provisional,adj.,暫時的,6
psychiatry,n.,精神病學,6
psychic,adj.,靈魂的,6
psychotherapy,n.,精神療法,6
publicize,v.,宣傳,6
puff,n./v.,一陣噴煙,6
punctual,adj.,準時的,6
purify,v.,變純淨,6
purity,n.,純淨,6
quake,v./n.,顫抖,6
qualification,n.,資格,6
radiant,adj./n.,發光的,6
radiate,v./adj.,放射,6
radioactive,adj.,放射性的,6
radish,n.,小蘿卜,6
radius,n.,半徑,6
rap,n.,輕敲,6
rash,n./adj.,輕率的,6
ratify,v.,批準,6
realization,n.,實現,6
reap,v.,收割,6
reckless,adj.,不介意的,6
reckon,v.,計算,6
reconcile,v.,使和解,6
recreational,adj.,消遣的,6
redundancy,n.,過多,6
reef,n.,暗礁,6
referee,n./v.,仲裁人,6
referendum,n.,（就重大政治或社會問題進行的）全民公決,6
refine(ment),v./(n.),精煉,6
reflective,adj.,反射的,6
refresh(ment),v./(n.),使精神振作,6
refreshment(s),n.,茶點,6
refute,v.,反駁,6
rehabilitate,v.,恢復原狀,6
rehearse,v.,預演,6
reign,n./v.,為王,6
rejoice,v.,使歡喜,6
relay,n./v.,驛馬,6
relentless,adj.,無情的,6
reliance,n.,信任,6
reliant,adj.,依賴的,6
relic,n.,遺物,6
remainder,n.,剩餘物,6
reminiscent,adj.,回憶的,6
renowned,adj.,有名的,6
reproduce,v.,繁殖,6
reptile,n./adj.,爬行動物,6
resent(ment),v./(n.),憤恨,6
reside,v.,住,6
resistant,adj.,抵抗者,6
respective,adj.,分別的,6
restoration,n.,恢復,6
restrain,v.,抑制,6
restraint,n.,抑制,6
retort,n./v.,反駁,6
retrieve,v.,取回,6
revelation,n.,揭露,6
revival,n.,復興,6
revive,v.,使蘇醒,6
revolt,n./v.,叛亂,6
revolve,v.,(使)旋轉,6
rigorous,adj.,嚴厲的,6
ripple,n./v.,漣波,6
rivalry,n.,競爭,6
roam,v./n.,漫遊,6
robust,adj.,健康的,6
rotate,v.,輻狀的,6
rotation,n.,旋轉,6
royalty,n.,皇室,6
rubbish,n.,廢物,6
rugged,adj.,高低不平的,6
ruthless,adj.,無情的,6
salute,n./v.,行禮,6
salvage,v.,海上救助,6
sanitation,n.,(環境)衛生,6
savage,adj./n./v.,未開化的,6
scenic,adj.,風景好的,6
scorn,n./v.,輕蔑,6
scrape,v./n.,刮,6
screwdriver,n.,螺絲起子,6
scroll,n./v.,卷軸,6
scrutiny,n.,細看,6
sculptor,n.,雕刻家,6
seagull/gull,n.,海鷗,6
seduce,v.,唆使,6
selective,adj.,選擇的,6
serene,adj.,寧靜的,6
sergeant,n.,警察小隊長,6
serial,adj.,分期連載作品,6
sermon,n.,說教,6
serving,n.,服務,6
setback,n.,挫折,6
shabby,adj.,衣衫襤褸的,6
sharpen,v.,使尖銳,6
shaver,n.,修面的人,6
shortcoming,n.,缺點,6
shortsighted,adj.,近視的,6
shred,n./v.,碎布條,6
shriek,n./v.,尖銳的響聲,6
shrub,n.,矮樹,6
shuffle,v.,拖著腳走,6
shutter,n./v.,百葉窗,6
simplicity,n.,單純,6
simplify,v.,單一化,6
simultaneous,adj.,同時的,6
skeptical,adj.,懷疑論的,6
skim,v./n.,撇取浮沫,6
slang,n./v.,俚語,6
slash,v./n.,猛砍,6
slaughter,n./v.,殘殺,6
slay,v.,殺害,6
sloppy,adj.,泥濘的,6
slum,n./v.,貧民窟,6
slump,n./v.,暴跌,6
sly,adj.,狡猾的,6
smuggle,v.,偷運,6
sneaker(s),n.,運動鞋,6
sneaky,adj.,鬼祟的,6
sneeze,n./v.,噴嚏,6
snore,v./n.,鼾聲,6
sociable,adj.,好交際的,6
socialism,n.,社會主義,6
socialist,n.,社會主義者,6
socialize,v.,使社會化,6
sociology,n.,社會學,6
solemn,adj.,嚴肅的,6
solidarity,n.,團結,6
solitary,adj./n.,獨居者,6
solitude,n.,孤獨,6
soothe,v.,緩和,6
sorrowful,adj.,悲傷的,6
sovereign,adj./n.,元首,6
spacecraft/spaceship,n.,太空船,6
span,n./v.,指距,6
sparrow,n.,麻雀,6
spectacle,n.,引人羨慕的東西,6
spiral,adj./n./v.,螺旋形之物,6
splendor,n.,光輝,6
spokesperson/ spokesman/ spokeswoman,n.,女發言人,6
spontaneous,adj.,自然的,6
sportsman/sportswoman,n.,運動員,6
sportsmanship,n.,運動員精神,6
spotlight,n./v.,照明燈,6
spur,v./n.,馬刺,6
stabilize,v.,使安定,6
stagger,v./n.,蹣跚,6
staple,n./v.,主要產物,6
starvation,n.,飢餓,6
statesman,n.,政治家,6
stationary,adj.,不動的,6
stationery,n.,文具,6
stature,n.,身材,6
statute,n.,法令,6
stepchild,n.,前夫(或前妻)所生子女,6
stepfather,n.,繼父,6
stepmother,n.,繼母,6
stimulation,n.,刺激,6
strait,n.,海峽,6
strangle,v.,勒死,6
stray,adj./v./n.,走失的家畜,6
stride,n./v.,大步,6
stroll,n./v.,閒逛,6
stun,v.,使昏迷,6
stutter,n./v.,口吃,6
stylish,adj.,現代風格的,6
subjective,adj./n.,主觀的,6
subordinate,adj./n./v.,屬下,6
subscribe,v.,捐獻,6
subscription,n.,捐獻,6
subsidize,v.,補助,6
succession,n.,連續,6
successive,adj.,繼承的,6
suffocate,v.,使窒息,6
suitcase,n.,手提箱,6
summon,v.,召喚,6
superficial,adj.,表面,6
superintendent,n.,監督人,6
superiority,n.,優越,6
superstitious,adj.,迷信的,6
supplement,n./v.,補充物,6
suppress,v./n.,鎮壓,6
surge,n./v.,巨湧,6
surgical,adj.,外科的,6
surname,n.,姓,6
surpass,v.,超越,6
suspense,n.,懸疑,6
suspension,n.,懸掛,6
swamp,n./v.,沼澤,6
swarm,n./v.,群,6
symbolize,v.,符號化,6
symmetry,n.,對稱,6
sympathize,v.,同情,6
symphony,n.,交響樂,6
synonym,n.,同義詞,6
synthetic,adj./n.,合成物質,6
syrup,n.,糖漿,6
tan,n./adj./v.,黃褐色,6
tedious,adj.,沉悶的,6
telecommunications,n.,電信,6
teller,n.,敘述者,6
tempo,n.,速度,6
tenant,n./v.,承租人,6
tentative,adj.,試驗,6
terrace,n./v.,階地,6
textile,n./adj.,紡織品,6
thereafter,adv.,其後,6
thermometer,n.,溫度計,6
tilt,n./v.,傾斜,6
tiptoe,n./v.,腳尖,6
tiresome,adj.,累人的,6
token,n.,表徵,6
tornado,n.,旋風,6
torrent,n.,奔流,6
trademark,n.,商標,6
transcript,n.,抄本,6
transmit,v.,傳輸,6
transplant,n./v.,使移居,6
treasury,n.,國庫,6
trek,n./v.,牛拉貨車,6
trifle,n./v.,瑣事,6
trillion,n.,大量,6
tropic,n./adj.,回歸線,6
trout,n.,鮭魚,6
trustee,n.,受托人,6
tuck,v./n.,縫褶,6
turmoil,n.,騷動,6
twilight,n.,暮光,6
twinkle,n./v.,閃爍,6
unanimous,adj.,意見一致的,6
unconditional,adj.,無條件的,6
underestimate,v./n.,低估,6
underneath,prep./adv./n./adj.,在……下面,6
underpass,n.,地道,6
underway,adv.,航行中的,6
unification,n.,統一,6
unify,v.,統一,6
unveil,v.,揭開,6
upright,adv./adj./n.,正直的,6
uprising,n.,起義,6
upward,adj.,向上的,6
upward/upwards,adv.,向上的,6
urgency,n.,緊急,6
usher,v./n.,引座員,6
utensil,n.,器皿,6
utter,adj./v.,全然的,6
vaccine,n.,牛痘苗,6
vanilla,n.,香草,6
vanity,n.,虛榮心,6
vapor,n.,汽,6
veil,n./v.,面紗,6
velvet,n./adj.,天鵝絨,6
versatile,adj.,多才多藝的,6
veterinarian/vet,n.,獸醫,6
veto,n./v.,否決權,6
vibrate,v.,振動,6
vibration,n.,振動,6
vice,n.,惡習,6
victor,n.,勝利者,6
vigor,n.,精力,6
vigorous,adj.,精力充沛的,6
villa,n.,別墅,6
villain,n.,壞人,6
vine,n.,藤本植物,6
vineyard,n.,葡萄園,6
violinist,n.,小提琴演奏者,6
virgin,n./adj.,處女,6
vitality,n.,活力,6
vocation,n.,職業,6
vocational,adj.,職業的,6
vowel,n.,元音,6
wag,v./n.,搖擺,6
walnut,n.,胡桃,6
ward,n./v.,病房,6
wardrobe,n.,衣櫥,6
warrant,n.,授權,6
warranty,n.,正當理由,6
waterproof,adj./v.,防水材料,6
weary,adj./v.,疲倦的,6
wharf,n./v.,碼頭,6
whiskey/whisky,n.,威士忌酒,6
wholesale,adj./adv./n./v.,批發,6
wholesome,adj.,有益健康的,6
widow/widower,n.,寡婦/鰥夫,6
withhold,v.,使停止,6
woe,n.,悲哀,6
woodpecker,n.,啄木鳥,6
workforce,n.,勞動力,6
wrestle,v./n.,摔跤,6
wrinkle,n./v.,皺紋,6
yearn,v.,渴望,6
yoga,n.,瑜珈,6
